Comment,Designator,Footprint,LCSC,Quantity
MountingHole,"H1,H2,H3,H4,H5,H6",MountingHole_2.5mm_Pad_TopOnly,C2916322,6
MX_stab,S1,Plate-MP_MX_7u,,1
MX-NoLED,MX56,Plate-MP_MX_1u,,1
MX-NoLED,MX73,Plate-MP_MX_1u,,1
MX-NoLED,MX39,Plate-MP_MX_1u,,1
MX-NoLED,MX19,Plate-MP_MX_1u,,1
MX-NoLED,MX5,Plate-MP_MX_1u,,1
MX-NoLED,MX16,Plate-MP_MX_1u,,1
MX-NoLED,MX51,Plate-MP_MX_1u,,1
MX-NoLED,MX40,Plate-MP_MX_1u,,1
MX-NoLED,MX8,Plate-MP_MX_1u,,1
MX-NoLED,MX7,Plate-MP_MX_1u,,1
MX-NoLED,MX26,Plate-MP_MX_1u,,1
MX-NoLED,MX68,Plate-MP_MX_1u,,1
MX-NoLED,MX41,Plate-MP_MX_1u,,1
MX-NoLED,MX48,Plate-MP_MX_1u,,1
MX-NoLED,MX22,Plate-MP_MX_1u,,1
MX-NoLED,MX35,Plate-MP_MX_1u,,1
MX-NoLED,MX2,Plate-MP_MX_1u,,1
MX-NoLED,MX14,Plate-MP_MX_1u,,1
MX-NoLED,MX54,Plate-MP_MX_1u,,1
MX-NoLED,MX10,Plate-MP_MX_1u,,1
MX-NoLED,MX20,Plate-MP_MX_1u,,1
MX-NoLED,MX42,Plate-MP_MX_1u,,1
MX-NoLED,MX24,Plate-MP_MX_1u,,1
MX-NoLED,MX12,Plate-MP_MX_1u,,1
MX-NoLED,MX15,Plate-MP_MX_1u,,1
MX-NoLED,MX50,Plate-MP_MX_1u,,1
MX-NoLED,MX1,Plate-MP_MX_1u,,1
MX-NoLED,MX29,Plate-MP_MX_1u,,1
MX-NoLED,MX57,Plate-MP_MX_1u,,1
MX-NoLED,MX18,Plate-MP_MX_1u,,1
MX-NoLED,MX21,Plate-MP_MX_1u,,1
MX-NoLED,MX59,Plate-MP_MX_1.5u,,1
MX-NoLED,MX43,Plate-MP_MX_1u,,1
MX-NoLED,MX75,Plate-MP_MX_1u,,1
MX-NoLED,MX36,Plate-MP_MX_1u,,1
MX-NoLED,MX11,Plate-MP_MX_1u,,1
MX-NoLED,MX61,Plate-MP_MX_1u,,1
MX-NoLED,MX27,Plate-MP_MX_1u,,1
MX-NoLED,MX47,Plate-MP_MX_1.5u,,1
MX-NoLED,MX3,Plate-MP_MX_1u,,1
MX-NoLED,MX33,Plate-MP_MX_1u,,1
MX-NoLED,MX49,Plate-MP_MX_1u,,1
MX-NoLED,MX64,Plate-MP_MX_1u,,1
MX-NoLED,MX13,Plate-MP_MX_1u,,1
MX-NoLED,MX9,Plate-MP_MX_1u,,1
MX-NoLED,MX34,Plate-MP_MX_1u,,1
MX-NoLED,MX63,Plate-MP_MX_1u,,1
MX-NoLED,MX53,Plate-MP_MX_1u,,1
MX-NoLED,MX74,Plate-MP_MX_1u,,1
MX-NoLED,MX4,Plate-MP_MX_1u,,1
MX-NoLED,MX52,Plate-MP_MX_1u,,1
MX-NoLED,MX55,Plate-MP_MX_1u,,1
MX-NoLED,MX25,Plate-MP_MX_1u,,1
MX-NoLED,MX72,Plate-MP_MX_1u,,1
MX-NoLED,MX30,Plate-MP_MX_1u,,1
MX-NoLED,MX58,Plate-MP_MX_1u,,1
MX-NoLED,MX17,Plate-MP_MX_1u,,1
MX-NoLED,MX28,Plate-MP_MX_1u,,1
MX-NoLED,MX37,Plate-MP_MX_1u,,1
MX-NoLED,MX62,Plate-MP_MX_1u,,1
MX-NoLED,MX6,Plate-MP_MX_1u,,1
MX-NoLED,MX66,Plate-MP_MX_1.25u,,1
MX-NoLED,MX32_2,Plate-MP_MX_STP-CAPS,,1
MX-NoLED,MX38,Plate-MP_MX_1.5u,,1
MX-NoLED,MX23,Plate-MP_MX_1u,,1
MX-NoLED,MX70,Plate-MP_MX_1.25u,,1
MX-NoLED,MX44_2,Plate-MP_MX_STP-CAPS,,1
60_Outline,REF**,60_Outline-Modded,,1
